p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, device
-656,64,96,96,80,32,16,672,-48,-96,-96,-80,-48,0,loader
-544,0,80,96,96,80,64,64,304,-96,-112,-112,-96,-48,loader
-944,80,96,96,64,64,48,448,32,-96,-96,-80,-80,-48,loader
-928,80,112,96,80,64,32,432,-80,-96,-112,-80,-48,-112,loader
-1136,112,112,112,96,64,32,1088,-96,-96,-96,-96,-64,-16,loader
-1040,96,96,96,64,80,32,1088,-96,-96,-112,-112,-80,-48,loader
-784,64,96,96,96,80,64,960,-80,-96,-96,-112,-64,-64,loader
-592,64,96,96,96,64,0,928,-48,-112,-112,-96,-64,0,loader
-880,64,96,112,80,1008,-80,-96,-96,-96,-48,-16,-464,80,loader
-928,80,96,96,112,80,32,1056,-96,-96,-96,-112,-80,-64,loader
-1056,80,96,96,112,80,48,640,0,-96,-112,-96,-80,-80,loader
-1024,80,96,96,96,64,16,944,-80,-96,-112,-80,-64,-16,loader
-400,80,96,96,96,48,96,272,-96,-112,-96,-96,0,-976,loader
-928,80,96,112,80,64,16,400,-80,-112,-112,-96,-80,-80,loader
-448,-32,80,96,112,80,64,720,-48,-96,-96,-112,-96,-64,loader
-752,64,96,96,96,48,0,592,-80,-96,-112,-80,-48,-16,loader
-1024,96,96,112,80,64,16,976,-80,-96,-112,-96,-80,0,loader
-880,64,96,96,80,64,32,1120,-112,-96,-112,-96,-64,-16,loader
-752,-320,80,96,112,96,64,240,176,-96,-96,-112,-96,-64,loader
-1040,96,96,112,96,64,64,816,-48,-96,-112,-128,-48,-64,loader
-1056,96,96,96,80,64,16,1024,-96,-96,-96,-96,-64,-16,loader
-848,80,96,96,64,48,16,720,-64,-96,-112,-64,-64,-208,loader
-768,48,80,96,112,80,48,208,176,-96,-112,-112,-80,-48,loader
-976,80,80,96,96,80,32,1072,-96,-96,-112,-112,-64,-32,loader
-816,64,80,96,112,80,48,224,112,-96,-96,-112,-96,-48,loader
-944,80,96,96,80,80,48,1056,-96,-96,-112,-96,-64,-16,loader
-1056,96,96,112,80,80,32,1056,-96,-96,-96,-80,-80,-64,loader
-848,64,112,96,80,64,112,288,-96,-96,-128,-96,-48,-224,loader
-768,64,96,96,112,96,48,176,160,-80,-96,-96,-80,-80,loader
-672,96,96,112,96,80,288,96,-96,-96,-112,-80,-64,-512,loader
-992,96,96,96,96,80,32,1040,-96,-96,-112,-64,-80,-32,loader
-1056,112,96,112,80,80,32,1040,-96,-80,-96,-80,-80,-48,loader
-560,80,96,96,80,64,16,848,-64,-112,-96,-80,-64,-112,loader
-976,80,96,112,112,64,16,944,-80,-96,-96,-96,-64,-32,loader
-448,96,96,112,80,80,80,288,-80,-96,-96,-96,-64,-256,loader
-672,80,96,112,80,64,256,80,-96,-96,-96,-80,-64,-640,loader
-640,16,96,112,112,80,64,48,304,-80,-96,-112,-96,-48,loader
-1024,96,96,112,80,80,16,544,-64,-96,-112,-80,-80,0,loader
-528,80,112,112,96,64,64,416,-80,-96,-112,-80,-64,-160,loader
-1008,80,96,112,96,48,16,928,-64,-112,-112,-112,-80,-16,loader
-960,80,96,96,64,64,48,1008,-96,-96,-96,-96,-96,-48,loader
-736,48,96,96,112,80,48,144,176,-96,-96,-96,-112,-48,loader
-896,96,96,96,96,64,16,544,-80,-112,-112,-80,-48,-16,loader
-320,-64,80,80,96,80,32,640,-32,-96,-96,-80,-96,-48,loader
-496,80,96,96,80,64,32,384,-96,-112,-112,-80,-64,-128,loader
-1040,96,96,112,80,80,16,1008,-96,-112,-112,-64,-48,-16,loader
-816,80,96,112,80,48,128,256,-96,-112,-112,-96,-64,-192,loader
-624,64,96,96,80,48,16,480,-80,-112,-112,-112,-64,-16,loader
-560,16,96,96,128,80,48,848,-64,-96,-96,-80,-48,-48,loader
-528,16,80,96,112,96,64,1072,-96,-112,-112,-80,-64,-32,loader
-1008,80,96,96,80,64,16,928,-80,-112,-112,-96,-64,-16,loader
-1072,96,96,96,80,48,16,720,-64,-112,-96,-64,-80,-16,loader
-944,64,96,96,80,48,0,832,-64,-96,-96,-64,-32,-848,loader
-800,48,96,112,80,80,48,1008,-80,-96,-96,-128,-96,-48,loader
-1072,80,96,112,80,64,16,832,-64,-96,-96,-80,-96,-16,loader
-1072,112,96,112,80,64,16,688,-64,-112,-112,-112,-64,0,loader
-1040,96,96,96,128,64,48,1088,-96,-96,-96,-128,-96,-48,loader
-1040,64,96,112,96,64,16,1008,-64,-112,-112,-80,-32,-48,loader
-592,-64,96,96,112,80,64,640,-32,-80,-96,-80,-96,-64,loader
-1072,112,96,112,80,80,32,1072,-96,-96,-96,-96,-32,-16,loader
-480,80,96,112,96,64,32,352,-80,-96,-112,-80,-64,-144,loader
-1088,96,96,112,80,64,32,1008,-96,-96,-112,-80,-64,-32,loader
-944,80,96,112,96,64,464,0,-80,-96,-112,-64,-48,-816,loader
-720,48,96,112,128,96,64,816,-80,-80,-96,-64,-64,-32,loader
-1008,80,96,112,96,64,16,912,-64,-96,-112,-80,-48,-32,loader
-544,-448,80,112,112,96,48,48,288,-96,-96,-96,-48,-32,loader
-720,64,112,96,80,64,16,608,-64,-96,-112,-96,-64,-16,loader
-848,64,96,96,80,80,48,992,-80,-96,-96,-96,-96,-16,loader
-336,-96,96,96,96,64,32,1040,-96,-96,-112,-96,-32,-304,loader
-912,64,96,96,96,48,48,368,-96,-112,-112,-64,-80,-96,loader
-816,64,96,96,80,48,0,688,-80,-96,-96,-64,-64,-32,loader
-1008,96,96,96,80,96,48,640,-48,-96,-96,-80,-80,-48,loader
-848,64,96,96,80,48,0,720,-64,-112,-112,-80,-48,-16,loader
-656,64,96,96,80,64,0,544,-96,-112,-112,-80,-80,-480,loader
-1056,80,80,96,96,80,48,688,-48,-96,-112,-128,-64,-48,loader
-544,80,112,112,80,48,48,416,-80,-96,-112,-96,-80,-112,loader
-688,80,96,112,80,48,368,64,-96,-96,-112,-112,-48,-464,loader
-752,96,96,96,80,64,32,1008,-96,-96,-112,-80,-64,-16,loader
-1056,96,112,112,96,64,16,576,-80,-96,-112,-96,-64,-16,loader
-320,-96,96,96,112,80,64,528,-32,-80,-96,-96,-80,-80,loader
-1504,128,128,144,112,112,64,1360,-112,-96,-128,-128,-80,-32,loader
-864,64,96,96,80,64,16,1120,-112,-96,-112,-96,-64,-16,loader
-752,-336,96,96,112,80,48,176,176,-96,-96,-112,-80,-48,loader
-672,80,112,112,96,80,912,32,-96,-112,-112,-96,-64,-1184,loader
-832,64,96,96,96,80,64,1040,-96,-112,-112,-112,-112,-32,loader
-1056,96,96,112,96,64,16,960,-64,-96,-96,-96,-64,-16,loader
-704,64,96,112,96,64,16,768,-64,-96,-112,-80,-48,0,loader
-624,80,96,112,80,64,16,528,-80,-96,-96,-80,-64,-16,loader
-1136,112,112,112,80,48,128,288,-96,-96,-112,-80,-64,-16,loader
-976,80,96,112,96,64,16,1200,-112,-112,-112,-96,-80,-32,loader
-576,80,96,112,96,64,16,480,-80,-112,-96,-64,-64,-144,loader
-896,64,96,96,96,80,16,1136,-64,-112,-112,-96,-80,-272,loader
-976,96,96,96,96,80,48,320,48,-96,-96,-112,-64,-16,loader
-1008,80,96,96,96,64,48,1040,-96,-96,-96,-80,-80,-64,loader
-1056,80,96,112,80,64,16,480,-80,-96,-112,-80,-80,0,loader
-784,64,96,96,96,64,16,640,-80,-112,-112,-80,-64,-16,loader
-960,64,96,112,96,64,48,1088,-96,-96,-96,-96,-48,-32,loader
-704,80,112,112,96,64,256,64,-96,-96,-96,-112,-80,-560,loader
